WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
trails,                  7     2     7     6    67   426   147     4     4    -9       3
see                      7     2     3     3    74   427   182     3     3    -7      41
wildlife,                7     3     9     8     7   429   220     7     7   -99       5
snorkel                  7     3     7     7    21   431   260     7     7   -14       1
sea.                     7     3     4     3    32   434   217     3     3   -11       9
was                      7     3     3     3    44   437   196     1     1   -12     383
the                      7     3     3     3    56   439   104     2     2   -12    3511
the                      7     3     3     3    54   439    66     0     0     2    3511
*Blink                   7   -99     3     3   -99   -99   210   -99   -99   -99     -99
the                      7     3     3     3    26   433   207     1     1   -99    3511
snorkel                  7     3     7     7    20   431   268     6     6     6       1
the                      7     3     3     3    54   439   208     0     0   -34    3511
the                      7     3     3     3    57   439   176     3     3    -3    3511
luxurious                7     3     9     9    64   441   172     1     1    -7       3
we'd                     7     4     4     4    11   443   192     0     0   -99     -99
had,                     7     4     4     3    22   445   112     1     1   -11     130
*Blink                   7   -99     4     3   -99   -99   400   -99   -99   -99     -99
not                      7     4     3     3    47   449   218     3     3   -99     277
centre                   7     4     6     6    55   451   156     5     5    -8      16
gastronomic              7     4    11    11    62   453   130     2     2    -7       1
certainly                7     4     9     9    37   448   193     3     3    25      21
was                      7     4     3     3    30   447   152     0     0     7     383
centre                   7     4     6     6    52   451   193     2     2   -22      16
gastronomic              7     4    11    11    63   453   160     3     3   -11       1
gastronomic              7     4    11    11    67   453   183     7     7    -4       1
excellence.              7     5    11    10    11   454   117    11    11   -99       1
really                   7     5     6     6    23   457   187     2     2   -12      34
wasn't                   7     5     6     6    33   458   176     5     5   -10     -99
point.                   7     5     6     5    43   460   173     4     4   -10      26
took                     7     5     4     4    53   462   173     4     4   -10      17
the                      7     5     3     3    62   465   190     2     2    -9    3511
places                   7     5     6     6    68   466   190     4     4    -6       9
wanted                   7     5     6     6    74   468   494     0     0    -6      14
and                      8     1     3     3    10   471   297     2     2     0    1283
expert                   8     1     6     6    17   473   192     1     1    -7       4
guide                    8     1     5     5    25   474   222     2     2    -8       9
had,                     8     1     4     3    32   476   146     0     0    -7     130
who                      8     1     3     3    37   477   162     0     0    -5     157
us                       8     1     2     2    46   479   257     1     1    -9      86
round                    8     1     5     5    52   480   159     4     4    -6      11
trails                   8     1     6     6    59   482   279     1     1    -7       3
explained                8     1     9     9    70   484   204     1     1   -11       7
and                      8     2     3     3    12   487   212     2     2   -99    1283
us,                      8     2     3     2    23   490   200     0     0   -11      86
the                      8     2     3     3    31   492   142     0     0    -8    3511
we                       8     2     2     2    42   494   308     2     2   -11     179
possibly                 8     2     8     8    51   496   150     2     2    -9       4
have                     8     2     4     4    58   497   155     0     0    -7     361
wanted.                  8     2     7     6    63   498    80     0     0    -5      14
*Blink                   8   -99     7     6   -99   -99   379   -99   -99   -99     -99
an                       8     3     2     2    13   503   267     1     1   -99     195
inveterate               8     3    10    10    22   504   396     7     7    -9       1
birdwatcher              8     3    11    11    32   505   300     6     6   -10       1
birdwatcher              8     3    11    11    37   505   174    11    11    -5       1
naturalist               8     3    10    10    46   507   170     5     5    -9       1
inveterate               8     3    10    10    25   504   342    10    10    21       1
inveterate               8     3    10    10    23   504   330     8     8     2       1
inveterate               8     3    10    10    25   504   241    10    10    -2       1
birdwatcher              8     3    11    11    26   505   409     0     0    -1       1
naturalist               8     3    10    10    42   507   154     1     1   -16       1
naturalist               8     3    10    10    48   507   207     7     7    -6       1
be                       8     3     2     2    57   509   228     2     2    -9     423
captivated               8     3    10    10    62   510   221     4     4    -5       1
captivated               8     3    10    10    67   510   248     9     9    -5       1
captivated               8     3    10    10    65   510   198     7     7     2       1
what                     8     3     4     4    74   512   186     2     2    -9     125
what                     8     3     4     4    75   512    96     3     3    -1     125
captivated               8     3    10    10    68   510   209    10    10     7       1
simply                   8     4     6     6    12   516   170     3     3   -99      17
simply                   8     4     6     6    10   516   179     1     1     2      17
cannot                   8     4     6     6    21   517   185     5     5   -11      11
being                    8     4     5     5    29   519   166     1     1    -8      54
taken                    8     4     5     5    36   520   149     2     2    -7      21
over                     8     4     4     4    44   521   176     4     4    -8      76
sense                    8     4     5     5    50   524   157     0     0    -6      14
of                       8     4     2     2    57   525   184     1     1    -7    1757
wonder                   8     4     6     6    64   526   158     5     5    -7       8
this                     8     4     4     4    69   528   142     0     0    -5     293
and                      8     5     3     3    13   530   155     3     3   -99    1283
world.                   8     5     6     5    23   532   218     1     1   -10      60
in                       8     5     2     2    49   535   229     0     0   -26    1091
visit,                   8     5     6     5    45   534   232     3     3     4      12
1835,                    8     5     5     4    56   536   141     4     4   -11     -99
Darwin's                 8     5     8     8    41   533   437     8     8    15     -99
1835,                    8     5     5     4    56   536   725     4     4   -15     -99
